"#",Jurisdiction,Kind,Display Key,Lens ID,Publication Date,Publication Year,Application Number,Application Date,Priority Numbers,Earliest Priority Date,Title,Abstract,Applicants,Inventors,Owners,URL,Document Type,Has Full Text,Cites Patent Count,Cited by Patent Count,Simple Family Size,Extended Family Size,Sequence Count,CPC Classifications,IPCR Classifications,US Classifications,NPL Citation Count,NPL Resolved Citation Count,NPL Resolved Lens ID(s),NPL Resolved External ID(s),NPL Citations,Legal Status
1,ES,Y,ES 225824 Y,002-006-403-808-881,1977-11-01,1977,ES 225824 U,1977-01-21,FR 7602068 A,1976-01-21,DISPOSITIVO A CHARNELAS PARA ACHICADORES DE APERTURA AUTOMA-TICA UTILIZADO EN PESCA.,,,,,https://lens.org/002-006-403-808-881,Limited Patent,no,0,0,4,4,0,A01K77/00;;B25G1/04,A01K77/00;;B25G1/04,,0,0,,,,EXPIRED
2,KR,Y1,KR 200235188 Y1,006-348-712-078-70X,2001-09-25,2001,KR 19990009725 U,1999-06-03,KR 19990009725 U,1999-06-03,AUTOMATIC BINDING AND RELEASING APPARATUS OF FISHING IMPLEMENTS,"본 고안은 중공의 일체형 슬리이브부재(220)와, 상기 슬리이브부재(220)의 내부에 삽입되는 이동부재(240)와, 상기 슬리이브부재(220)의 슬라이딩에 따라 핀(234)을 중심으로 회동가능하게 상기 힌지부(2220)의 삽입부(230)에 삽입되어 연결고리와 선택적으로 결합하는 체결부재(250)와, 상기 이동부재(240)의 외면에 감합되어 상기 슬리이브 부재(220)를 항상 상방으로 가압하는 탄성수단(260)과, 상기 슬리이브 부재(220)의 하부를 폐쇄하도록 상기 이동부재(240)에 체결되어 상기 탄성수단(260)을 고정하는 고정부재(280)로 구성되는 어로장비 체결분리기(200)로서, 상기 슬리이브 부재(220)가 슬라이딩되어 상기 이동부재(240)가 상방으로 이동될 때, 상기 체결부재(250)의 힌지편(252)이 슬리이브 부재(220)의 상방으로 노출되면서 삽입부(230)내에서 핀(232)을 중심으로 회동하여 바깥쪽으로 벌어지므로서, 연결로우프가 편중되지 않고 분리된다. 본 고안에 따르면, 해저에 침강시킨 어로장비의 인양시 본 고안의 체결분리기는 슬리이브 부재가 슬라이딩될 때 체결부재가 삽입부내에서 핀을 중심으로 회동되므로, 연결고리가 편중되지 않은 상태에서 이탈되어, 분리가 용이하고, 또한, 슬리이브 부재가 일체로 형성되어 있으므로 조립이 용이한 효과가 있다.",박명오,박명오,,https://lens.org/006-348-712-078-70X,Unknown,no,0,2,2,2,0,A01K69/00;;A01K77/00;;B66F19/00,,,0,0,,,,EXPIRED
3,US,A,US 3949510 A,000-719-087-775-754,1976-04-13,1976,US 53778974 A,1974-12-30,US 53778974 A,1974-12-30,Device for retrieving minnows,"A device for retrieving minnows individually from a minnow bucket includes a handle and a tubular trap pivotally connected to the handle. The interior of the trap is large enough to accommodate only one minnow, and one of its ends is open so that a minnow will swim into it, while its other end is closed so that the minnow does not swim through the trap. The handle has a gripping portion and two arms which diverge from the gripping portion. The tubular trap is pivotally connected to the arms adjacent the open end of the trap so that when the trap is lifted off the bottom of the bucket, it will assume a vertical deposition with its open end presented upwardly so that the minnow in the trap cannot escape. Retaining means are provided for holding the trap in a compact storage position between the arms of the handle.",JOHNSON KENNETH J,JOHNSON KENNETH J,,https://lens.org/000-719-087-775-754,Granted Patent,yes,4,13,1,1,0,A01K77/00;;A01K77/00,A01K77/00,43/4,0,0,,,,EXPIRED
4,KR,Y1,KR 890007900 Y1,013-423-417-321-886,1989-11-10,1989,KR 870002508 U,1987-02-28,KR 870002508 U,1987-02-28,NETS OF FISH CATCH,,LEE GYU CHOL,LEE GYU-CHOL,,https://lens.org/013-423-417-321-886,Unknown,no,0,0,2,2,0,A01K77/005,A01K77/00,,0,0,,,,EXPIRED
5,CN,A,CN 108207824 A,004-765-272-283-164,2018-06-29,2018,CN 201810018758 A,2018-01-09,CN 201810018758 A,2018-01-09,Net tightening device for marine fishing,"The invention provides a net tightening device for marine fishing, and relates to the field of marine fishing. The net tightening device comprises a left supporting leg, the bottom of the left supporting leg is fixedly connected with a bottom plate, the upper surface of the bottom plate is fixedly connected with a right supporting leg, a movable groove is formed in the right side of the left supporting leg, a movable block is movably connected with the interior of the movable groove, the right side of the movable block is fixedly connected with a roller, the right side of the roller is overlapped with the left side of the right supporting leg, and an open hole communicated with the right side is formed in the left side of the right supporting leg. According to the net tightening device, through arrangement of fixing rings on the surface of a connecting rod and a transmission shaft, the fixing between the connecting rod and the transmission shaft is achieved, so that a motor can be separated from the roller to facilitate the disassembly of the roller; through a screw arranged inside a screw hole, the firmness of the net tightening device is improved to avoid shaking or falling downduring use.",ZHANG LI,ZHANG LI,,https://lens.org/004-765-272-283-164,Patent Application,no,0,0,1,1,0,A01K77/00,A01K77/00,,0,0,,,,DISCONTINUED
6,DE,A1,DE 3044694 A1,014-228-271-056-313,1982-06-24,1982,DE 3044694 A,1980-11-27,DE 3044694 A,1980-11-27,Aquarium with oxygen pump - allows fish removal on insertion of money,"The aquarium is equipped with an oxygen pump, and enables fish to be extracted on insertion of money, for use as bait, or for eating. Trout may be obtained, by using a vending machine unit.",LUDOLPH DIETER,LUDOLPH DIETER,,https://lens.org/014-228-271-056-313,Patent Application,no,0,0,1,1,0,A01K77/00,A01K77/00,,0,0,,,,DISCONTINUED
7,KR,A,KR 20220043327 A,015-805-214-260-426,2022-04-05,2022,KR 20200126595 A,2020-09-29,KR 20200126595 A,2020-09-29,Drift gill net machine system,"The present invention relates to a net hauling system which comprises: a main frame installed on a ship; a subframe installed on the main frame to be rotatable; a hauling unit including a plurality of rotary drums installed on the subframe to be rotatable so that a driftnet installed in the sea can be towed to the ship, and a drum driving unit rotating the rotary drums; and a rotating unit installed on the subframe to rotate the subframe. According to the present invention, since the net hauling is installed on a ship to be rotatable, the hauling unit is rotated according to the position of a driftnet, and thus the driftnet is prevented from being separated from the hauling unit or being damaged by the hauling unit.",SM TECH CO LTD,KIM CHI HYEONG,,https://lens.org/015-805-214-260-426,Patent Application,no,4,0,2,2,0,A01K73/06;;A01K77/00,A01K73/06;;A01K77/00,,0,0,,,,ACTIVE
8,JP,B2,JP 2597130 B2,015-210-846-092-704,1997-04-02,1997,JP 4516188 A,1988-02-26,JP 4516188 A,1988-02-26,JP 2597130 B2,,,,,https://lens.org/015-210-846-092-704,Granted Patent,no,0,1,3,3,0,A01K73/06;;A01K77/00;;B66D1/60,A01K73/06,,0,0,,,,EXPIRED
9,KR,B1,KR 100341304 B1,011-428-513-780-505,2002-06-21,2002,KR 19990018167 A,1999-05-20,KR 19990018167 A,1999-05-20,AUTOMATED APPARATUS FOR HAULING FISHING NET,"PURPOSE: An automated apparatus for hauling a fish net is provided to reduce fishing labor and fishing time by automating a hauling work. CONSTITUTION: The apparatus comprises: a net hauler(1); and a haul net line(3) and a suspensory line(4) arranged to a fishing net(2) in one row, wherein the net hauler(1) has a V groove pulley(6) axially mounted on one face of a main body(1') with a hydraulic motor(5) at one side, a pressure roller(7) installed on a lateral part thereof for pressurizing the haul net line(3), a haul net line separating rachet(8) installed on a lateral part thereof for separating the haul net line(3) from the V groove pulley(6), an irregular portion(9) of serration shape formed on one face of the V groove pulley(6) and a suspensory line guide(10) installed at a lateral part thereof for crossing the irregular portion(9).",DAEYEO INDUSTRY CO LTD;;KWON BYUNG KOOK;;LC TEK CO LTD;;LEE CHOON WOO;;LEE JU HEE,KWON BYUNG KOOK;;LEE CHOON WOO;;LEE JU HEE,,https://lens.org/011-428-513-780-505,Granted Patent,no,1,2,4,4,0,A01K73/06;;A01K74/00;;A01K77/00,A01K69/00;;A01K74/00;;A01K73/06,,0,0,,,,EXPIRED
10,KR,Y1,KR 200310101 Y1,010-901-112-134-785,2003-04-08,2003,KR 20020031153 U,2002-10-18,KR 20020031153 U,2002-10-18,KR 200310101 Y1,,,,,https://lens.org/010-901-112-134-785,Unknown,no,0,1,1,1,0,A01K91/18;;A01K77/00,A01K91/18,,0,0,,,,EXPIRED
